Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-02 00:00:00-05:00,466.1801863467121,467.6710721237043,464.5313233237868,466.6639709472656,123623700,0.0,0.0,0.0
2024-01-03 00:00:00-05:00,464.472058184052,465.2224425251352,462.2407012783773,462.8528442382813,103585900,0.0,0.0,0.0
2024-01-04 00:00:00-05:00,462.36904000280646,464.99535512497806,461.1348710618091,461.3619689941406,84232200,0.0,0.0,0.0
2024-01-05 00:00:00-05:00,461.5693194520241,464.48197032202864,460.5227465585689,461.993896484375,86060800,0.0,0.0,0.0
2024-01-08 00:00:00-05:00,462.4974229595819,468.73738868816406,462.3690645619279,468.58929443359375,74879100,0.0,0.0,0.0
2024-01-09 00:00:00-05:00,465.89380376217713,468.91504672491766,465.38040036293376,467.87835693359375,65931400,0.0,0.0,0.0
2024-01-10 00:00:00-05:00,468.1548462064756,471.4031873412615,467.8685105714623,470.5244445800781,67310600,0.0,0.0,0.0
2024-01-11 00:00:00-05:00,471.5413941072693,472.0646805353375,466.27891097711375,470.3171081542969,77940700,0.0,0.0,0.0
2024-01-12 00:00:00-05:00,471.7881956204992,472.538579930574,469.21126549944063,470.6428833007813,57944000,0.0,0.0,0.0
2024-01-16 00:00:00-05:00,469.2409070488277,470.57378537947335,467.0687576940883,468.9150695800781,85014900,0.0,0.0,0.0
2024-01-17 00:00:00-05:00,465.8444839828464,466.8022002964971,463.9191683619671,466.30853271484375,68843900,0.0,0.0,0.0
2024-01-18 00:00:00-05:00,468.0067199860643,471.01807998601583,466.43686079415824,470.4552917480469,91856200,0.0,0.0,0.0
2024-01-19 00:00:00-05:00,471.60060775394254,476.6064039770588,470.5046802482713,476.320068359375,110733300,0.0,0.0,0.0
2024-01-22 00:00:00-05:00,477.8801147683553,479.07478191108953,476.6656816379384,477.32720947265625,75844900,0.0,0.0,0.0
2024-01-23 00:00:00-05:00,477.8801190202065,478.9661636335848,476.7743084189696,478.7193298339844,49945300,0.0,0.0,0.0
2024-01-24 00:00:00-05:00,481.63194889493104,482.5797821860604,478.7390641862389,479.24261474609375,81765000,0.0,0.0,0.0
2024-01-25 00:00:00-05:00,481.4048692496808,482.1256347714462,479.24263294654105,481.8491821289063,72525000,0.0,0.0,0.0
2024-01-26 00:00:00-05:00,481.4147736540376,482.92539532707895,480.37808373117616,481.237060546875,76641600,0.0,0.0,0.0
2024-01-29 00:00:00-05:00,481.5530117966893,485.19628112432986,481.0001064907511,485.0481567382813,61322800,0.0,0.0,0.0
2024-01-30 00:00:00-05:00,484.3471361549433,485.3937090194068,483.9028232782409,484.6729736328125,58618400,0.0,0.0,0.0
