Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.543509685467523,24.543509685467523,24.421402672106986,24.526065826416016,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.543528524495787,24.700523376464844,24.543528524495787,24.700523376464844,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.68307981027357,24.77029917356076,24.630748192301255,24.75285530090332,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.78774267460013,25.03195688814299,24.770298802204213,25.01451301574707,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,25.1017291797532,25.17150466044744,24.82262725697624,25.11917304992676,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,25.101726531982425,25.15405813698308,24.962175585314,25.101726531982425,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,25.101726531982425,25.188945873650184,25.06683879531532,25.101726531982425,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,25.014505483788824,25.014505483788824,24.87495454664077,24.92728614807129,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,24.92729525162905,24.979626872171316,24.85751975757271,24.962182998657227,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,24.997054979433106,25.188937467063084,24.997054979433106,25.084274291992188,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,25.049395560549957,25.049395560549957,24.89240074157715,24.89240074157715,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.82261550760715,24.82261550760715,24.22952420243593,24.26441192626953,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,24.26441690321449,24.299304634204013,24.15975371024592,24.246973037719727,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.526072200722965,24.526072200722965,23.898093111657516,24.22952651977539,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,24.22954164447538,24.316761016845703,24.19465389552725,24.316761016845703,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.3865325687782,24.438864183732655,24.31675708217225,24.403976440429688,513600,0.0,0.0,0.0
